Position;Track Name;Artist;Streams;Date;Genre
176;Happier;Marshmello;735563;01.01.21;['brostep', 'pop', 'progressive electro house', 'pop dance', 'edm']
177;God's Plan;Drake;733078;01.01.21;['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']
178;Azul;J Balvin;730544;01.01.21;['reggaeton colombiano', 'reggaeton', 'trap latino', 'latin']
179;I Like It;Cardi B;729266;01.01.21;['pop rap', 'pop', 'rap', 'dance pop']
180;hot girl bummer;blackbear;725383;01.01.21;['pop rap', 'pop', 'electropop', 'modern rock']
181;Tú Me Dejaste De Querer;C. Tangana;721482;01.01.21;['urbano espanol']
182;Feel So Close - Radio Edit;Calvin Harris;720834;01.01.21;['uk dance', 'pop', 'dance pop', 'edm', 'house', 'progressive house', 'pop dance', 'electro house']
183;Safaera;Bad Bunny;715471;01.01.21;['trap latino', 'reggaeton', 'latin']
184;Say You Won't Let Go;James Arthur;713403;01.01.21;['pop', 'uk pop', 'talent show', 'post-teen pop']
185;La Luz;Sech;708108;01.01.21;['panamanian pop', 'trap latino', 'reggaeton', 'latin']
186;De Cora <3;Rauw Alejandro;701278;01.01.21;['puerto rican pop', 'trap latino']
187;Cidade Inteira;Eric Land;700985;01.01.21;['forro', 'sertanejo pop']
188;Pumped Up Kicks;Foster The People;699498;01.01.21;['modern rock', 'indietronica', 'rock', 'modern alternative rock', 'pop']
189;Billie Jean;Michael Jackson;699271;01.01.21;['soul', 'r&b', 'pop']
190;everything i wanted;Billie Eilish;698884;01.01.21;['pop', 'electropop']
191;Falling;Harry Styles;698761;01.01.21;['pop', 'post-teen pop']
192;Take on Me;a-ha;696390;01.01.21;['new romantic', 'synthpop', 'new wave', 'permanent wave', 'new wave pop', 'soft rock', 'europop']
193;Hayloft;Mother Mother;695825;01.01.21;['vancouver indie', 'indie pop']
194;Love Not War (The Tampa Beat);Jason Derulo;695486;01.01.21;['dance pop', 'pop', 'post-teen pop', 'pop rap']
195;SAD!;XXXTENTACION;689288;01.01.21;['miami hip hop', 'emo rap']
196;Don't Stop Believin';Journey;688022;01.01.21;['album rock', 'rock', 'soft rock', 'classic rock', 'hard rock', 'mellow gold']
197;Tequila Shots;Kid Cudi;684396;01.01.21;['ohio hip hop', 'rap', 'hip hop', 'pop rap']
198;24K Magic;Bruno Mars;684115;01.01.21;['pop', 'post-teen pop', 'dance pop']
199;Deep End;Fousheé;683918;01.01.21;['indie r&b']
200;Why'd You Only Call Me When You're High?;Arctic Monkeys;683341;01.01.21;['sheffield indie', 'garage rock', 'permanent wave', 'modern rock', 'rock']
1;DÁKITI;Bad Bunny;4375903;02.01.21;['trap latino', 'reggaeton', 'latin']
2;Mood (feat. iann dior);24kGoldn;3319055;02.01.21;['cali rap']
3;Blinding Lights;The Weeknd;3216694;02.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;positions;Ariana Grande;3019358;02.01.21;['pop', 'post-teen pop', 'dance pop']
5;Anyone;Justin Bieber;3011498;02.01.21;['canadian pop', 'post-teen pop', 'pop']
6;BICHOTA;KAROL G;2959615;02.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
7;34+35;Ariana Grande;2708740;02.01.21;['pop', 'post-teen pop', 'dance pop']
8;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2565080;02.01.21;['trap', 'rap', 'pop rap']
9;Dynamite;BTS;2476161;02.01.21;['k-pop boy group', 'k-pop']
