Position;TrackName;Artist;Streams;Date;Genre
20;Dynamite;BTS;2234887;16.03.21;['k-pop boy group', 'k-pop']
1;drivers license;Olivia Rodrigo;4482038;17.03.21;['pop']
2;telepatía;Kali Uchis;3938580;17.03.21;['colombian pop', 'pop']
3;Save Your Tears;The Weeknd;3753440;17.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;Astronaut In The Ocean;Masked Wolf;3675387;17.03.21;['australian hip hop']
5;Leave The Door Open;Bruno Mars;3567359;17.03.21;['pop', 'post-teen pop', 'dance pop']
6;Blinding Lights;The Weeknd;3094277;17.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
7;DÁKITI;Bad Bunny;3000932;17.03.21;['trap latino', 'reggaeton', 'latin']
8;Heartbreak Anniversary;Giveon;2724999;17.03.21;['pop', 'r&b']
9;Hold On;Justin Bieber;2640031;17.03.21;['canadian pop', 'post-teen pop', 'pop']
10;The Business;Tiësto;2558326;17.03.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
11;Calling My Phone;Lil Tjay;2529142;17.03.21;['melodic rap', 'nyc rap', 'brooklyn drill']
12;Levitating (feat. DaBaby);Dua Lipa;2526487;17.03.21;['uk pop', 'pop', 'dance pop']
13;Streets;Doja Cat;2514942;17.03.21;['pop', 'dance pop']
14;What’s Next;Drake;2480014;17.03.21;['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']
15;WITHOUT YOU;The Kid LAROI;2414245;17.03.21;['australian hip hop']
16;On The Ground;ROSÉ;2397392;17.03.21;['k-pop', 'k-pop girl group', 'korean pop']
17;Up;Cardi B;2387811;17.03.21;['pop rap', 'pop', 'rap', 'dance pop']
18;Mood (feat. iann dior);24kGoldn;2377821;17.03.21;['cali rap']
19;Bandido;Myke Towers;2365231;17.03.21;['trap latino']
20;Dynamite;BTS;2177785;17.03.21;['k-pop boy group', 'k-pop']
1;drivers license;Olivia Rodrigo;4425674;18.03.21;['pop']
2;telepatía;Kali Uchis;3941030;18.03.21;['colombian pop', 'pop']
3;Save Your Tears;The Weeknd;3721458;18.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;Astronaut In The Ocean;Masked Wolf;3694440;18.03.21;['australian hip hop']
5;Leave The Door Open;Bruno Mars;3490948;18.03.21;['pop', 'post-teen pop', 'dance pop']
6;Blinding Lights;The Weeknd;3099755;18.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
7;DÁKITI;Bad Bunny;2995793;18.03.21;['trap latino', 'reggaeton', 'latin']
8;Heartbreak Anniversary;Giveon;2771900;18.03.21;['pop', 'r&b']
9;Hold On;Justin Bieber;2629498;18.03.21;['canadian pop', 'post-teen pop', 'pop']
10;The Business;Tiësto;2554129;18.03.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
11;Calling My Phone;Lil Tjay;2509881;18.03.21;['melodic rap', 'nyc rap', 'brooklyn drill']
12;Levitating (feat. DaBaby);Dua Lipa;2498847;18.03.21;['uk pop', 'pop', 'dance pop']
13;Streets;Doja Cat;2487486;18.03.21;['pop', 'dance pop']
14;Up;Cardi B;2454813;18.03.21;['pop rap', 'pop', 'rap', 'dance pop']
15;WITHOUT YOU;The Kid LAROI;2390660;18.03.21;['australian hip hop']
16;Bandido;Myke Towers;2384586;18.03.21;['trap latino']
17;Mood (feat. iann dior);24kGoldn;2356735;18.03.21;['cali rap']
18;What’s Next;Drake;2329084;18.03.21;['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']
19;On The Ground;ROSÉ;2250899;18.03.21;['k-pop', 'k-pop girl group', 'korean pop']
20;Dynamite;BTS;2106403;18.03.21;['k-pop boy group', 'k-pop']
1;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;5743257;19.03.21;['canadian pop', 'post-teen pop', 'pop']
2;Hold On;Justin Bieber;4699653;19.03.21;['canadian pop', 'post-teen pop', 'pop']
3;drivers license;Olivia Rodrigo;4510332;19.03.21;['pop']
4;As I Am (feat. Khalid);Justin Bieber;4241420;19.03.21;['canadian pop', 'post-teen pop', 'pop']
5;telepatía;Kali Uchis;4194349;19.03.21;['colombian pop', 'pop']
6;Astronaut In The Ocean;Masked Wolf;4172179;19.03.21;['australian hip hop']
7;Save Your Tears;The Weeknd;4135659;19.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
8;Leave The Door Open;Bruno Mars;3694155;19.03.21;['pop', 'post-teen pop', 'dance pop']
9;Blinding Lights;The Weeknd;3349384;19.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
10;DÁKITI;Bad Bunny;3220846;19.03.21;['trap latino', 'reggaeton', 'latin']
11;Anyone;Justin Bieber;3174092;19.03.21;['canadian pop', 'post-teen pop', 'pop']
12;Unstable (feat. The Kid LAROI);Justin Bieber;3081029;19.03.21;['canadian pop', 'post-teen pop', 'pop']
13;2 Much;Justin Bieber;2977910;19.03.21;['canadian pop', 'post-teen pop', 'pop']
14;The Business;Tiësto;2948415;19.03.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
15;Holy (feat. Chance The Rapper);Justin Bieber;2908730;19.03.21;['canadian pop', 'post-teen pop', 'pop']
16;Heartbreak Anniversary;Giveon;2859452;19.03.21;['pop', 'r&b']
17;Deserve You;Justin Bieber;2775741;19.03.21;['canadian pop', 'post-teen pop', 'pop']
18;Levitating (feat. DaBaby);Dua Lipa;2727326;19.03.21;['uk pop', 'pop', 'dance pop']
19;Off My Face;Justin Bieber;2715108;19.03.21;['canadian pop', 'post-teen pop', 'pop']
20;Calling My Phone;Lil Tjay;2704456;19.03.21;['melodic rap', 'nyc rap', 'brooklyn drill']
1;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;5942931;20.03.21;['canadian pop', 'post-teen pop', 'pop']
2;drivers license;Olivia Rodrigo;4373795;20.03.21;['pop']
3;Hold On;Justin Bieber;4303424;20.03.21;['canadian pop', 'post-teen pop', 'pop']
4;Astronaut In The Ocean;Masked Wolf;4184397;20.03.21;['australian hip hop']
5;telepatía;Kali Uchis;4178752;20.03.21;['colombian pop', 'pop']
6;Save Your Tears;The Weeknd;4153558;20.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
7;Leave The Door Open;Bruno Mars;3612312;20.03.21;['pop', 'post-teen pop', 'dance pop']
8;As I Am (feat. Khalid);Justin Bieber;3488912;20.03.21;['canadian pop', 'post-teen pop', 'pop']
9;Blinding Lights;The Weeknd;3428125;20.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
10;DÁKITI;Bad Bunny;3375538;20.03.21;['trap latino', 'reggaeton', 'latin']
11;The Business;Tiësto;2975887;20.03.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
12;Anyone;Justin Bieber;2836073;20.03.21;['canadian pop', 'post-teen pop', 'pop']
13;Heartbreak Anniversary;Giveon;2795275;20.03.21;['pop', 'r&b']
14;Levitating (feat. DaBaby);Dua Lipa;2751379;20.03.21;['uk pop', 'pop', 'dance pop']
15;Bandido;Myke Towers;2723130;20.03.21;['trap latino']
16;Up;Cardi B;2613309;20.03.21;['pop rap', 'pop', 'rap', 'dance pop']
17;Mood (feat. iann dior);24kGoldn;2591645;20.03.21;['cali rap']
18;Calling My Phone;Lil Tjay;2578024;20.03.21;['melodic rap', 'nyc rap', 'brooklyn drill']
19;Holy (feat. Chance The Rapper);Justin Bieber;2532555;20.03.21;['canadian pop', 'post-teen pop', 'pop']
20;WITHOUT YOU;The Kid LAROI;2519007;20.03.21;['australian hip hop']
1;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;5349249;21.03.21;['canadian pop', 'post-teen pop', 'pop']
2;drivers license;Olivia Rodrigo;3972029;21.03.21;['pop']
3;telepatía;Kali Uchis;3743135;21.03.21;['colombian pop', 'pop']
4;Hold On;Justin Bieber;3660100;21.03.21;['canadian pop', 'post-teen pop', 'pop']
5;Astronaut In The Ocean;Masked Wolf;3601333;21.03.21;['australian hip hop']
6;Save Your Tears;The Weeknd;3587390;21.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
7;Leave The Door Open;Bruno Mars;3188014;21.03.21;['pop', 'post-teen pop', 'dance pop']
8;Blinding Lights;The Weeknd;2945300;21.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
9;DÁKITI;Bad Bunny;2922907;21.03.21;['trap latino', 'reggaeton', 'latin']
10;As I Am (feat. Khalid);Justin Bieber;2855156;21.03.21;['canadian pop', 'post-teen pop', 'pop']
11;Heartbreak Anniversary;Giveon;2658981;21.03.21;['pop', 'r&b']
12;The Business;Tiësto;2428355;21.03.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
13;Levitating (feat. DaBaby);Dua Lipa;2407873;21.03.21;['uk pop', 'pop', 'dance pop']
14;Anyone;Justin Bieber;2380120;21.03.21;['canadian pop', 'post-teen pop', 'pop']
15;Bandido;Myke Towers;2345401;21.03.21;['trap latino']
16;Mood (feat. iann dior);24kGoldn;2294971;21.03.21;['cali rap']
17;Calling My Phone;Lil Tjay;2282670;21.03.21;['melodic rap', 'nyc rap', 'brooklyn drill']
18;Up;Cardi B;2264041;21.03.21;['pop rap', 'pop', 'rap', 'dance pop']
19;Streets;Doja Cat;2257143;21.03.21;['pop', 'dance pop']
20;WITHOUT YOU;The Kid LAROI;2207498;21.03.21;['australian hip hop']
1;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;6138630;22.03.21;['canadian pop', 'post-teen pop', 'pop']
2;drivers license;Olivia Rodrigo;4110298;22.03.21;['pop']
3;Hold On;Justin Bieber;3968345;22.03.21;['canadian pop', 'post-teen pop', 'pop']
4;Astronaut In The Ocean;Masked Wolf;3942623;22.03.21;['australian hip hop']
5;telepatía;Kali Uchis;3935986;22.03.21;['colombian pop', 'pop']
6;Save Your Tears;The Weeknd;3713812;22.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
7;Leave The Door Open;Bruno Mars;3331111;22.03.21;['pop', 'post-teen pop', 'dance pop']
8;As I Am (feat. Khalid);Justin Bieber;2978637;22.03.21;['canadian pop', 'post-teen pop', 'pop']
9;Blinding Lights;The Weeknd;2935217;22.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
10;Heartbreak Anniversary;Giveon;2906978;22.03.21;['pop', 'r&b']
11;DÁKITI;Bad Bunny;2799376;22.03.21;['trap latino', 'reggaeton', 'latin']
12;The Business;Tiësto;2588322;22.03.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
13;Anyone;Justin Bieber;2585321;22.03.21;['canadian pop', 'post-teen pop', 'pop']
14;Levitating (feat. DaBaby);Dua Lipa;2568643;22.03.21;['uk pop', 'pop', 'dance pop']
15;Up;Cardi B;2392356;22.03.21;['pop rap', 'pop', 'rap', 'dance pop']
16;Calling My Phone;Lil Tjay;2367779;22.03.21;['melodic rap', 'nyc rap', 'brooklyn drill']
17;Streets;Doja Cat;2342413;22.03.21;['pop', 'dance pop']
18;WITHOUT YOU;The Kid LAROI;2331704;22.03.21;['australian hip hop']
19;Mood (feat. iann dior);24kGoldn;2281806;22.03.21;['cali rap']
20;Holy (feat. Chance The Rapper);Justin Bieber;2269478;22.03.21;['canadian pop', 'post-teen pop', 'pop']
1;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;6347170;23.03.21;['canadian pop', 'post-teen pop', 'pop']
2;drivers license;Olivia Rodrigo;4118421;23.03.21;['pop']
3;Astronaut In The Ocean;Masked Wolf;4038070;23.03.21;['australian hip hop']
4;telepatía;Kali Uchis;4023464;23.03.21;['colombian pop', 'pop']
5;Hold On;Justin Bieber;3860216;23.03.21;['canadian pop', 'post-teen pop', 'pop']
6;Save Your Tears;The Weeknd;3758661;23.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
7;Leave The Door Open;Bruno Mars;3443584;23.03.21;['pop', 'post-teen pop', 'dance pop']
8;Heartbreak Anniversary;Giveon;3012583;23.03.21;['pop', 'r&b']
9;Blinding Lights;The Weeknd;2986348;23.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
10;DÁKITI;Bad Bunny;2874902;23.03.21;['trap latino', 'reggaeton', 'latin']
11;As I Am (feat. Khalid);Justin Bieber;2813633;23.03.21;['canadian pop', 'post-teen pop', 'pop']
12;The Business;Tiësto;2638271;23.03.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
13;Levitating (feat. DaBaby);Dua Lipa;2627050;23.03.21;['uk pop', 'pop', 'dance pop']
14;Up;Cardi B;2508934;23.03.21;['pop rap', 'pop', 'rap', 'dance pop']
15;Anyone;Justin Bieber;2453487;23.03.21;['canadian pop', 'post-teen pop', 'pop']
16;Calling My Phone;Lil Tjay;2397162;23.03.21;['melodic rap', 'nyc rap', 'brooklyn drill']
17;WITHOUT YOU;The Kid LAROI;2387111;23.03.21;['australian hip hop']
18;Streets;Doja Cat;2369751;23.03.21;['pop', 'dance pop']
19;Bandido;Myke Towers;2323509;23.03.21;['trap latino']
20;Mood (feat. iann dior);24kGoldn;2303585;23.03.21;['cali rap']
1;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;6389660;24.03.21;['canadian pop', 'post-teen pop', 'pop']
2;Astronaut In The Ocean;Masked Wolf;4142501;24.03.21;['australian hip hop']
3;drivers license;Olivia Rodrigo;4139407;24.03.21;['pop']
4;telepatía;Kali Uchis;4063333;24.03.21;['colombian pop', 'pop']
5;Save Your Tears;The Weeknd;3772294;24.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
6;Hold On;Justin Bieber;3708007;24.03.21;['canadian pop', 'post-teen pop', 'pop']
7;Leave The Door Open;Bruno Mars;3409821;24.03.21;['pop', 'post-teen pop', 'dance pop']
8;Heartbreak Anniversary;Giveon;3049556;24.03.21;['pop', 'r&b']
9;Blinding Lights;The Weeknd;3028592;24.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
10;DÁKITI;Bad Bunny;2937069;24.03.21;['trap latino', 'reggaeton', 'latin']
11;The Business;Tiësto;2699010;24.03.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
12;Levitating (feat. DaBaby);Dua Lipa;2651668;24.03.21;['uk pop', 'pop', 'dance pop']
13;As I Am (feat. Khalid);Justin Bieber;2629827;24.03.21;['canadian pop', 'post-teen pop', 'pop']
14;Up;Cardi B;2545119;24.03.21;['pop rap', 'pop', 'rap', 'dance pop']
15;WITHOUT YOU;The Kid LAROI;2419134;24.03.21;['australian hip hop']
16;Calling My Phone;Lil Tjay;2406530;24.03.21;['melodic rap', 'nyc rap', 'brooklyn drill']
17;Streets;Doja Cat;2376266;24.03.21;['pop', 'dance pop']
18;Mood (feat. iann dior);24kGoldn;2354498;24.03.21;['cali rap']
19;Bandido;Myke Towers;2351553;24.03.21;['trap latino']
20;Anyone;Justin Bieber;2309602;24.03.21;['canadian pop', 'post-teen pop', 'pop']
1;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;6491227;25.03.21;['canadian pop', 'post-teen pop', 'pop']
2;Astronaut In The Ocean;Masked Wolf;4227059;25.03.21;['australian hip hop']
3;drivers license;Olivia Rodrigo;4109466;25.03.21;['pop']
4;telepatía;Kali Uchis;4066371;25.03.21;['colombian pop', 'pop']
5;Save Your Tears;The Weeknd;3754384;25.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
6;Hold On;Justin Bieber;3615981;25.03.21;['canadian pop', 'post-teen pop', 'pop']
7;Leave The Door Open;Bruno Mars;3397585;25.03.21;['pop', 'post-teen pop', 'dance pop']
8;Heartbreak Anniversary;Giveon;3150419;25.03.21;['pop', 'r&b']
9;Blinding Lights;The Weeknd;3054495;25.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
10;DÁKITI;Bad Bunny;2919539;25.03.21;['trap latino', 'reggaeton', 'latin']
11;The Business;Tiësto;2733611;25.03.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
12;Levitating (feat. DaBaby);Dua Lipa;2692865;25.03.21;['uk pop', 'pop', 'dance pop']
13;Up;Cardi B;2595757;25.03.21;['pop rap', 'pop', 'rap', 'dance pop']
14;As I Am (feat. Khalid);Justin Bieber;2515311;25.03.21;['canadian pop', 'post-teen pop', 'pop']
15;WITHOUT YOU;The Kid LAROI;2419706;25.03.21;['australian hip hop']
16;Calling My Phone;Lil Tjay;2404368;25.03.21;['melodic rap', 'nyc rap', 'brooklyn drill']
17;Streets;Doja Cat;2375591;25.03.21;['pop', 'dance pop']
18;Mood (feat. iann dior);24kGoldn;2362404;25.03.21;['cali rap']
19;Bandido;Myke Towers;2318912;25.03.21;['trap latino']
20;Anyone;Justin Bieber;2223415;25.03.21;['canadian pop', 'post-teen pop', 'pop']
1;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;7167120;26.03.21;['canadian pop', 'post-teen pop', 'pop']
2;Astronaut In The Ocean;Masked Wolf;4525731;26.03.21;['australian hip hop']
3;drivers license;Olivia Rodrigo;4156025;26.03.21;['pop']
4;telepatía;Kali Uchis;4105827;26.03.21;['colombian pop', 'pop']
5;Save Your Tears;The Weeknd;3963053;26.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
6;Hold On;Justin Bieber;3636991;26.03.21;['canadian pop', 'post-teen pop', 'pop']
7;Leave The Door Open;Bruno Mars;3562490;26.03.21;['pop', 'post-teen pop', 'dance pop']
8;Heartbreak Anniversary;Giveon;3253686;26.03.21;['pop', 'r&b']
9;Blinding Lights;The Weeknd;3246141;26.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
10;DÁKITI;Bad Bunny;3141723;26.03.21;['trap latino', 'reggaeton', 'latin']
11;You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault);Taylor Swift;3135252;26.03.21;['pop', 'post-teen pop']
12;MONTERO (Call Me By Your Name);Lil Nas X;2972113;26.03.21;['lgbtq+ hip hop', 'pop rap']
13;The Business;Tiësto;2971101;26.03.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
14;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton;2897543;26.03.21;['uk dance', 'house', 'pop dance', 'tropical house', 'dance pop']
15;Levitating (feat. DaBaby);Dua Lipa;2862505;26.03.21;['uk pop', 'pop', 'dance pop']
16;Up;Cardi B;2839310;26.03.21;['pop rap', 'pop', 'rap', 'dance pop']
17;Mood (feat. iann dior);24kGoldn;2606003;26.03.21;['cali rap']
18;WITHOUT YOU;The Kid LAROI;2516593;26.03.21;['australian hip hop']
19;Bandido;Myke Towers;2489783;26.03.21;['trap latino']
20;As I Am (feat. Khalid);Justin Bieber;2455320;26.03.21;['canadian pop', 'post-teen pop', 'pop']
1;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;6948924;27.03.21;['canadian pop', 'post-teen pop', 'pop']
2;Astronaut In The Ocean;Masked Wolf;4429789;27.03.21;['australian hip hop']
3;drivers license;Olivia Rodrigo;4026024;27.03.21;['pop']
4;telepatía;Kali Uchis;3993575;27.03.21;['colombian pop', 'pop']
5;Save Your Tears;The Weeknd;3937116;27.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
6;Leave The Door Open;Bruno Mars;3504120;27.03.21;['pop', 'post-teen pop', 'dance pop']
7;Hold On;Justin Bieber;3416096;27.03.21;['canadian pop', 'post-teen pop', 'pop']
8;Blinding Lights;The Weeknd;3293818;27.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
9;MONTERO (Call Me By Your Name);Lil Nas X;3267423;27.03.21;['lgbtq+ hip hop', 'pop rap']
10;DÁKITI;Bad Bunny;3244185;27.03.21;['trap latino', 'reggaeton', 'latin']
11;Heartbreak Anniversary;Giveon;3208407;27.03.21;['pop', 'r&b']
12;The Business;Tiësto;2941510;27.03.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
13;Levitating (feat. DaBaby);Dua Lipa;2896511;27.03.21;['uk pop', 'pop', 'dance pop']
14;Up;Cardi B;2804837;27.03.21;['pop rap', 'pop', 'rap', 'dance pop']
15;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton;2662012;27.03.21;['uk dance', 'house', 'pop dance', 'tropical house', 'dance pop']
16;Mood (feat. iann dior);24kGoldn;2629950;27.03.21;['cali rap']
17;Bandido;Myke Towers;2530137;27.03.21;['trap latino']
18;Fiel;Los Legendarios;2504245;27.03.21;['trap latino', 'reggaeton', 'latin']
19;WITHOUT YOU;The Kid LAROI;2432829;27.03.21;['australian hip hop']
20;Calling My Phone;Lil Tjay;2348838;27.03.21;['melodic rap', 'nyc rap', 'brooklyn drill']
1;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;6094110;28.03.21;['canadian pop', 'post-teen pop', 'pop']
2;Astronaut In The Ocean;Masked Wolf;3778350;28.03.21;['australian hip hop']
3;drivers license;Olivia Rodrigo;3587843;28.03.21;['pop']
4;telepatía;Kali Uchis;3514372;28.03.21;['colombian pop', 'pop']
5;MONTERO (Call Me By Your Name);Lil Nas X;3477653;28.03.21;['lgbtq+ hip hop', 'pop rap']
6;Save Your Tears;The Weeknd;3349311;28.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
7;Leave The Door Open;Bruno Mars;3051637;28.03.21;['pop', 'post-teen pop', 'dance pop']
8;Heartbreak Anniversary;Giveon;2936140;28.03.21;['pop', 'r&b']
9;Hold On;Justin Bieber;2898233;28.03.21;['canadian pop', 'post-teen pop', 'pop']
10;DÁKITI;Bad Bunny;2814695;28.03.21;['trap latino', 'reggaeton', 'latin']
11;Blinding Lights;The Weeknd;2771427;28.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
12;Levitating (feat. DaBaby);Dua Lipa;2457111;28.03.21;['uk pop', 'pop', 'dance pop']
13;Up;Cardi B;2373247;28.03.21;['pop rap', 'pop', 'rap', 'dance pop']
14;The Business;Tiësto;2348398;28.03.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
15;Mood (feat. iann dior);24kGoldn;2289106;28.03.21;['cali rap']
16;Fiel;Los Legendarios;2233926;28.03.21;['trap latino', 'reggaeton', 'latin']
17;Bandido;Myke Towers;2184153;28.03.21;['trap latino']
18;WITHOUT YOU;The Kid LAROI;2089844;28.03.21;['australian hip hop']
19;Streets;Doja Cat;2066227;28.03.21;['pop', 'dance pop']
20;Calling My Phone;Lil Tjay;2062558;28.03.21;['melodic rap', 'nyc rap', 'brooklyn drill']
1;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;6933350;29.03.21;['canadian pop', 'post-teen pop', 'pop']
2;MONTERO (Call Me By Your Name);Lil Nas X;4858571;29.03.21;['lgbtq+ hip hop', 'pop rap']
3;Astronaut In The Ocean;Masked Wolf;4212086;29.03.21;['australian hip hop']
4;drivers license;Olivia Rodrigo;3810742;29.03.21;['pop']
5;telepatía;Kali Uchis;3760005;29.03.21;['colombian pop', 'pop']
6;Save Your Tears;The Weeknd;3633087;29.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
7;Leave The Door Open;Bruno Mars;3293871;29.03.21;['pop', 'post-teen pop', 'dance pop']
8;Hold On;Justin Bieber;3247915;29.03.21;['canadian pop', 'post-teen pop', 'pop']
9;Heartbreak Anniversary;Giveon;3174351;29.03.21;['pop', 'r&b']
10;Blinding Lights;The Weeknd;2911115;29.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
11;DÁKITI;Bad Bunny;2786205;29.03.21;['trap latino', 'reggaeton', 'latin']
12;Levitating (feat. DaBaby);Dua Lipa;2723327;29.03.21;['uk pop', 'pop', 'dance pop']
13;The Business;Tiësto;2640518;29.03.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
14;Up;Cardi B;2587161;29.03.21;['pop rap', 'pop', 'rap', 'dance pop']
15;Fiel;Los Legendarios;2406980;29.03.21;['trap latino', 'reggaeton', 'latin']
16;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton;2291307;29.03.21;['uk dance', 'house', 'pop dance', 'tropical house', 'dance pop']
17;WITHOUT YOU;The Kid LAROI;2279257;29.03.21;['australian hip hop']
18;Mood (feat. iann dior);24kGoldn;2272250;29.03.21;['cali rap']
19;Streets;Doja Cat;2237187;29.03.21;['pop', 'dance pop']
20;Calling My Phone;Lil Tjay;2226081;29.03.21;['melodic rap', 'nyc rap', 'brooklyn drill']
1;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;7307207;30.03.21;['canadian pop', 'post-teen pop', 'pop']
2;MONTERO (Call Me By Your Name);Lil Nas X;5790241;30.03.21;['lgbtq+ hip hop', 'pop rap']
3;Astronaut In The Ocean;Masked Wolf;4316871;30.03.21;['australian hip hop']
4;drivers license;Olivia Rodrigo;3840185;30.03.21;['pop']
5;telepatía;Kali Uchis;3801552;30.03.21;['colombian pop', 'pop']
6;Save Your Tears;The Weeknd;3741049;30.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
7;Leave The Door Open;Bruno Mars;3336771;30.03.21;['pop', 'post-teen pop', 'dance pop']
8;Hold On;Justin Bieber;3296934;30.03.21;['canadian pop', 'post-teen pop', 'pop']
9;Heartbreak Anniversary;Giveon;3206753;30.03.21;['pop', 'r&b']
10;Blinding Lights;The Weeknd;3003309;30.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
11;DÁKITI;Bad Bunny;2830881;30.03.21;['trap latino', 'reggaeton', 'latin']
12;The Business;Tiësto;2808112;30.03.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
13;Levitating (feat. DaBaby);Dua Lipa;2792713;30.03.21;['uk pop', 'pop', 'dance pop']
14;Up;Cardi B;2676045;30.03.21;['pop rap', 'pop', 'rap', 'dance pop']
15;Fiel;Los Legendarios;2541628;30.03.21;['trap latino', 'reggaeton', 'latin']
16;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton;2407057;30.03.21;['uk dance', 'house', 'pop dance', 'tropical house', 'dance pop']
17;WITHOUT YOU;The Kid LAROI;2316571;30.03.21;['australian hip hop']
18;Calling My Phone;Lil Tjay;2278473;30.03.21;['melodic rap', 'nyc rap', 'brooklyn drill']
19;Bandido;Myke Towers;2245319;30.03.21;['trap latino']
20;Streets;Doja Cat;2244096;30.03.21;['pop', 'dance pop']
1;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;7395768;31.03.21;['canadian pop', 'post-teen pop', 'pop']
2;MONTERO (Call Me By Your Name);Lil Nas X;6584572;31.03.21;['lgbtq+ hip hop', 'pop rap']
3;Astronaut In The Ocean;Masked Wolf;4346447;31.03.21;['australian hip hop']
4;drivers license;Olivia Rodrigo;3817616;31.03.21;['pop']
5;telepatía;Kali Uchis;3774209;31.03.21;['colombian pop', 'pop']
6;Save Your Tears;The Weeknd;3748943;31.03.21;['canadian pop', 'canadian contemporary r&b', 'pop']
7;Leave The Door Open;Bruno Mars;3366358;31.03.21;['pop', 'post-teen pop', 'dance pop']
8;Hold On;Justin Bieber;3242805;31.03.21;['canadian pop', 'post-teen pop', 'pop']
